Ticker,Shares,Buy rate ($/unit)
VOO,0.001683,505.05
DELL,0.019699,142.14
UPRO,0.00032,93.75
UPRO,0.99968,78.35
NVDA,1.548092,119.86
SCHG,1.536072,100.77
AMZN,1,187.56
FLIN,3,39.25
VOO,0.479,502.88
SIRI,2,2.90
FLIN,1,39.65
SMH,0.401599,269.82
FLIN,1,39.62
DELL,1,154.75
SMH,0.188401,265.39
NVDA,0.414095,119.86
AAPL,0.2442,183.97
GOOGL,0.285176,175.33
AAPL,0.027583,183.97
NVDA,0.037813,119.86
