Ticker,Shares,Buy rate ($/unit)
NVDA,2,119.86
AAPL,0.272,183.97
AMZN,3,196.29
SCHG,2,101.63
FLIN,5,39.40
GOOGL,0.285,175.33
VOO,0.481,502.89
SMH,0.59,268.41
UPRO,1,78.35
HD,1,338.84
SIRI,9.405,3.19
DELL,3.025,146.98
AMZN, 1.91132,198.82
